Name,TwitterHandle,Date,TweetUrl,Text,Location,TimeZone,Language,VizPic,Latitude,Longitude
Adam Crahen,acrahen,1/8/2018 15:50,https://t.co/Lo9bTYPQBu,"#MakeoverMonday S3 E2 | Partner Preference
https://t.co/Lo9bTYPQBu https://t.co/nzOyfKI8xN","Honeoye Falls, NY",Eastern Time (US & Canada),en,http://pbs.twimg.com/media/DTB6X_GWAAAeptu.jpg,42.9520098,-77.5914698
Sweet Dreams,SweetDreamsIowa,1/8/2018 15:47,NoLink,"Soft colors for a relaxing bedroom. Blush, white and gray. 
#MakeoverMonday
#SweetDreams https://t.co/osvTmgEWog","Nevada, Iowa",Pacific Time (US & Canada),en,http://pbs.twimg.com/media/DTB58F-WsAAKici.jpg,42.0227653,-93.4524342
Clint Bond,ConcertClint,1/8/2018 15:44,https://t.co/60gWBBeshG,My first ever shot at #MakeoverMonday What are we looking for in a Mate? https://t.co/60gWBBeshG | Week 2  #Tableau? https://t.co/8TOBvYWazd,Kansas,Eastern Time (US & Canada),en,,38.27312,-98.5821872
Gina Reynolds,EvaMaeRey,1/8/2018 15:36,https://t.co/uPpGJsw8Hb,Ranking traits of romantic partners.  What's important? Ranked variables present some interesting challenges for vi? https://t.co/uPpGJsw8Hb,Unknown,Unknown,en,,,
TK,takazi88,1/8/2018 15:20,https://t.co/Glwbj0sBVp,"#MakeoverMonday Week - 2
Across the globe, Personality is rated as more important than looks. Viz link :? https://t.co/Glwbj0sBVp","Bengaluru, India",Unknown,en,,12.9791198,77.5912997
Dan LaDuke,dan_laduke,1/8/2018 14:57,https://t.co/G1hDB9DOsF,"@VizWizBI @TriMyData #MakeoverMonday #Tableau #MMVizReview
Week 2 2018 First Makeover Monday!!! You two are great!
https://t.co/G1hDB9DOsF",Unknown,Unknown,en,,,
Tushar More,tusharz_more,1/8/2018 14:56,https://t.co/nUurHR2tSG,"#MakeoverMonday wk-2, What personality attributes are mostly preferred by men and women in your nationality? Thanks? https://t.co/nUurHR2tSG",Unknown,New Delhi,en,,,
JT Jack-fm,JTeespeak,1/8/2018 14:45,https://t.co/y3Hl9jQDr7,Today is #MakeoverMonday watch my friend @JeffAngobaldoMD do a live procedure at https://t.co/y3Hl9jQDr7 or book ur? https://t.co/fUwXpmljwB,"Dallas, TX",Unknown,en,,32.7762719,-96.7968559
Ludovic Tavernier,ltavernier7,1/8/2018 14:37,https://t.co/KBNwvU0SoI,#MakeoverMonday - Gender Equality and Romantic Preferences - More common choices (or at least pretending) go with p? https://t.co/KBNwvU0SoI,"Nantes, France",Unknown,en,,47.2186371,-1.5541362
Amarendranath D,AmarendranathD,1/8/2018 14:21,https://t.co/bqFaSNFDkR,"#MakeoverMonday Revised with changes to sorting order. Thanks to  @TriMyData for the feedback.
Link -? https://t.co/bqFaSNFDkR","Philadelphia, PA",Chennai,en,,39.9523993,-75.1635899
Keith Dykstra,keith_dykstra,1/8/2018 13:59,https://t.co/IPIeXVvZLT,"Vietnam may be the worst place to be an ugly, single woman. Check out what men and women across the globe value in? https://t.co/IPIeXVvZLT","Washington, DC",Unknown,en,,38.8949549,-77.0366456
Regis Oconnor,RegisOconnor,1/8/2018 13:29,https://t.co/yXoPF3Po5v,"#MakeoverMonday #LooksvsPersonality
Inspiration comes from the jitter plot in the Big Book of Dashboards.? https://t.co/yXoPF3Po5v",Unknown,Unknown,en,,,
Li Zhang,IrislyLi,1/8/2018 13:11,https://t.co/3gqrFQRQ1O,#MakeoverMonday #Tableau #MMDataCamp @aleksoft @VizWizBi @TriMyData   WAS TOO BUSY HOPEFULLY I WILL KEEP THIS EVERY? https://t.co/3gqrFQRQ1O,Unknown,Krasnoyarsk,en,,,
Young Song,ycsong21,1/8/2018 12:39,https://t.co/YxYWOoQPU2,@TriMyData @VizWizBI  #MakeoverMonday week 3: personality is more important than looks when looking for a partner.? https://t.co/YxYWOoQPU2,"Brisbane, Queensland",Unknown,en,,-27.4689682,153.0234991
Matthijs Blenkers,MBlenkers,1/8/2018 12:21,https://t.co/zJG4pgyfPX,#MakeoverMonday week 2. With special thanks to @davisdataviz for the inspiration! Wanted the same but didn't know h? https://t.co/zJG4pgyfPX,Unknown,Amsterdam,en,,,
Sean Hurwitz,TheHurwitz,1/8/2018 11:50,https://t.co/g7GhyBGniv,"#MakeoverMonday Week 2 2018

https://t.co/g7GhyBGniv https://t.co/0HUKwGYUKL",Unknown,Unknown,en,http://pbs.twimg.com/media/DTBDkOcXkAAIAJw.jpg,,
Daniel Caroli,Danifornication,1/8/2018 11:20,https://t.co/ex5hNgDrrQ,"What Characteristics Do People want in a Romantic Partner?
#MakeoverMonday Week 02
@mattsmithetc @YouGov? https://t.co/ex5hNgDrrQ","Reading, England",London,en,,51.456659,-0.9696512
Mehsam Raza Hemani,LucidDataArtist,1/8/2018 11:03,https://t.co/qXovK5Y0rJ,"Quite amazed by the results :D

@TheNationalUAE women like Money Makers :D
While same is vice versa for @australian? https://t.co/qXovK5Y0rJ",Karachi,Karachi,en,,25.147872,67.18219317
Jamie Smyth,JamieAndData,1/8/2018 10:59,https://t.co/D7tm7LMDyK,#MakeoverMonday Week 2 2018. UK vs USA. Looking at how relationship views differ across the Atlantic ???? @VizWizBI? https://t.co/D7tm7LMDyK,"London, England",Unknown,en,,51.5073219,-0.1276474
Andrew Lang,cloudstream_al,1/8/2018 10:54,https://t.co/QELPbCEHT5,my #MakeoverMonday for this week looking at the data from @mattsmithetc and @YouGov looking at how much people valu? https://t.co/QELPbCEHT5,London,Unknown,en,,51.5073219,-0.1276474
Nai Louza,nai_louza,1/8/2018 10:41,https://t.co/tj2hqPW0WR,"And I'm actually publishing on Monday! #MakeoverMonday 

https://t.co/tj2hqPW0WR https://t.co/DzITYgIB5h",Unknown,Unknown,en,http://pbs.twimg.com/media/DTAzz3-WAAA7XZr.jpg,,
Pawe? Wróblewski,ExcelRaport,1/8/2018 10:30,NoLink,#makeovermonday no 2 @TriMyData &amp; @VizWizBI https://t.co/PLzaW6tOsF,"Gda?sk, Polska",Unknown,und,http://pbs.twimg.com/media/DTAxTeeXUAE17iV.jpg,,
Axel W.,genetis,1/8/2018 10:02,https://t.co/AY28yBBHdc,"Incredible how much you can read out of a simple bump chart!

Can anybody tell me why my circles look odd when hove? https://t.co/AY28yBBHdc","AKL, NZ",Wellington,en,,-37.00889695,174.7912451
Wiktoria Rudz,WikiDataDrops,1/8/2018 9:50,https://t.co/cyarIav66u,"Warming up with #MakeoverMonday  week 2 before returning to work after 3 weeks sick leave :o 
Choose your sort orde? https://t.co/cyarIav66u","London, England",London,en,,51.5073219,-0.1276474
AvinashReddyMunnangi,AvinashMReddy,1/8/2018 9:35,https://t.co/MZMcAKojcF,"#MakeOverMonday #Week2

**What should I look for in a Partner**
                Looks vs Personality... https://t.co/MZMcAKojcF",Hyderabad,Unknown,en,,17.3886068,78.46080957
Chander Sharma,BeingChander,1/8/2018 9:32,https://t.co/bE7B9oGLMw,"#MakeOverMonday #Week2

**What should I look for in a Partner**
                Looks vs Personality... https://t.co/bE7B9oGLMw",Pune,New Delhi,en,,18.5203062,73.8543185
AvinashReddyMunnangi,AvinashMReddy,1/8/2018 9:29,https://t.co/FNSyuWIgrf,"#MakeOverMonday #Week2

**What should I look for in a Partner**
                Looks vs Personality... https://t.co/FNSyuWIgrf",Hyderabad,Unknown,en,,17.3886068,78.46080957
Harpak Home Shopping,HarpakHome,1/8/2018 9:24,https://t.co/tNx3Z5OJ5N,Before and after joining Harpak? A 2nd income can be extra cash to spend on yourself to indulge in life's little pl? https://t.co/tNx3Z5OJ5N,Unknown,Unknown,en,,,
AvinashReddyMunnangi,AvinashMReddy,1/8/2018 9:03,https://t.co/wgcs37wjZ5,#MakeoverMonday Week2 @VizWizBI @TriMyData #MMVizReview  @datadotworld  Live dashboards is here? https://t.co/wgcs37wjZ5,Hyderabad,Unknown,en,,17.3886068,78.46080957
Mohanarengan V,VMohanarengan,1/8/2018 8:33,https://t.co/i4wTNWkIMI,"@VizWizBI  @TriMyData 
@mattsmithetc @YouGov @tableaupublic #MakeoverMonday #Tableau

https://t.co/i4wTNWkIMI https://t.co/zpuqofCJi9","Chennai, India",Unknown,und,http://pbs.twimg.com/tweet_video_thumb/DTAVs0rUQAAIM1v.jpg,13.0801721,80.2838331
Michael DiPalma,MichaelLDiPalma,1/8/2018 8:01,https://t.co/SO6OBZyQLd,#MakeoverMonday Week 2. #Tableau @VizWizBI Looks similar to viz from @TriMyData Full viz at https://t.co/SO6OBZyQLd https://t.co/j4t4BGclVw,Unknown,Eastern Time (US & Canada),en,http://pbs.twimg.com/media/DTAOsgrVAAEUqZQ.jpg,,
John Keegan,vizBrewer,1/8/2018 6:10,https://t.co/GMPWR3lOBl,"Practicing some floating sheets, and sort of a slope chart.
@VizWizBI  @TriMyData 
@mattsmithetc @YouGov? https://t.co/GMPWR3lOBl","Virginia, USA",Eastern Time (US & Canada),en,,37.1232245,-78.4927721
MRF Data,mrf_data,1/8/2018 6:06,https://t.co/dvhOG6Fp6M,"My debut #MakeoverMonday using #Tableau! | Where are men and women on the same page?
@VizWizBI @TriMyData? https://t.co/dvhOG6Fp6M","Chicago, IL",Pacific Time (US & Canada),en,,41.8755546,-87.6244212
Pranay Madan,DataMadan,1/8/2018 5:55,https://t.co/QZFVHfIxLq,My First #MakeoverMonday of 2018 | What personality characteristics do you prefer in a romantic partner?? https://t.co/QZFVHfIxLq,"Los Angeles , California",Tijuana,en,,34.1430079,-118.1417617
favkart,favkart,1/8/2018 5:23,https://t.co/dTpHiXlxvq,?The #world as we have created it is a process of our #thinking. It cannot be changed without changing our thinking? https://t.co/dTpHiXlxvq,"Gurgaon, Haryana",New Delhi,en,,28.48895715,77.01078378
Mike Cisneros,mikevizneros,1/8/2018 5:16,https://t.co/jtfu5L6SVQ,"What Do We (Say We) Look For In a Partner?

Breaking news: guys are shallow.

#MakeoverMonday
Viz:? https://t.co/jtfu5L6SVQ","Washington, DC",Unknown,en,,38.8949549,-77.0366456
Josh Tapley,josh_tapley,1/8/2018 4:49,https://t.co/sLryoAdoWw,@VizWizBI from #MakeoverMonday and @tableau #ZenMaster fame hits 600 vizzes! Want to know which has the most views? https://t.co/sLryoAdoWw,"Philadelphia, PA",Unknown,en,,39.9523993,-75.1635899
Susan Glass,SusanJG1,1/8/2018 4:17,https://t.co/119rBBrKy9,#makeovermonday Differences in the romantic preference survey for women in developed versus developing countries -? https://t.co/119rBBrKy9,Unknown,Unknown,en,,,
Ije Iruemi,ijegbai_iruemi,1/8/2018 4:03,https://t.co/AV1NLOuiMy,"First #MakeoverMonday attempt showing the personality characteristics most important to Australian women and men, f? https://t.co/AV1NLOuiMy",Australia,Solomon Is.,en,,-24.7761086,134.755
Lisa Ferretti,lisaferretti29,1/8/2018 3:31,https://t.co/l75FrqL7Jq,#MakeoverMonday Week 2: Personality vs. Looks: https://t.co/l75FrqL7Jq @TriMyData @tableau https://t.co/uFqT1Fow6c,"Philadelphia, PA",Pacific Time (US & Canada),en,http://pbs.twimg.com/media/DS_Q7pAU8AEGU4z.jpg,39.9523993,-75.1635899
Cole Knaflic,storywithdata,1/8/2018 3:10,https://t.co/P2q7DfkzXA,"Ah, I remember this #MakeoverMonday?the difference in scale was tricky! You've found a nice solution here. Though I? https://t.co/P2q7DfkzXA","San Francisco, CA",Pacific Time (US & Canada),en,,46.8443248,-71.2743272
Jeff Hancock,dukie1993jh,1/8/2018 2:43,https://t.co/uOQEa6PFKy,@TriMyData @VizWizBI #makeovermonday Romantic Preferences - World Averages vs. National.  https://t.co/uOQEa6PFKy https://t.co/Yi29tCqFO5,"Fairfax, VA",Unknown,en,http://pbs.twimg.com/media/DS_GZOKXUAEamYo.jpg,38.8462236,-77.3063733
Ed,edmundneil,1/8/2018 2:15,https://t.co/Pg7VSfG3fJ,"Do you want to participate in the #MakeoverMonday weekly activity and join a great #DataVisualization community?
He? https://t.co/Pg7VSfG3fJ",Costa Rica,Central America,en,,10.2735633,-84.0739102
Ed,edmundneil,1/8/2018 2:08,https://t.co/nUzG6WMNe0,"Do you want to participate in the #MakeoverMonday weekly activity and join a great #DataVisualization community?
He? https://t.co/nUzG6WMNe0",Costa Rica,Central America,en,,10.2735633,-84.0739102
Brian Delehanty,brianjdelehanty,1/8/2018 1:10,https://t.co/M85A0793JS,"Yeah, but they have a good personality.... #MakeoverMonday #MMVizReview @VizWizBI @TriMyData @tableaupublic? https://t.co/M85A0793JS","Laguna Hills, CA",Mountain Time (US & Canada),en,,33.5948758,-117.6882067
Emily Chen,echenty,1/8/2018 0:59,https://t.co/B9972X6Dd4,"#MakeoverMonday #tableau Fun times with this one! Emojis everywhere!
https://t.co/B9972X6Dd4 https://t.co/XaTdjvEFrm","London, England",Unknown,en,http://pbs.twimg.com/media/DS-uh2bXkAAzg0u.jpg,51.5073219,-0.1276474
Brian,Letz00,1/8/2018 0:28,https://t.co/Xz5XwExUlS,Week 2 of #MakeoverMonday @mattsmithetc @YouGov @VizWizBI @TriMyData Money vs. Beauty.  Gender preferences for Nati? https://t.co/Xz5XwExUlS,Letzelter,Unknown,en,,49.816632,6.7524614
Jay Lewis,jaylewisstl,1/8/2018 0:09,https://t.co/DRlZCT72Ae,Been a little while since I did a #MakeoverMonday. This one's using @YouGov survey data around six characteristics? https://t.co/DRlZCT72Ae,"jacksonville, fl",Mountain Time (US & Canada),en,,30.3321838,-81.655651
John DeJesus,JohnnyData22,1/8/2018 0:03,https://t.co/PPDgdojgKk,#makeovermonday #2018w2 Viz. Trying to do something new this time. Thanks @VizWizBI for your tutorial on youtube.? https://t.co/PPDgdojgKk,"New York, USA",Unknown,en,,40.7306458,-73.9866136
Aparna,AparnaNelapati,1/7/2018 23:57,https://t.co/2ZsF0mx8YU,"#MakeoverMonday  week 2 -2018 @TriMyData ,@VizWizBI ,@mattsmithetc,@YouGov 
what Personality characteristics are mo? https://t.co/2ZsF0mx8YU",Unknown,Unknown,en,,,
Kim Unger,WizardOfViz,1/7/2018 23:45,https://t.co/thM1UfoKCG,"It's all about the personality, not the Benjamins when it comes to finding a partner. #MakeoverMonday @VizWizBI? https://t.co/thM1UfoKCG","Florida, USA",Unknown,en,,27.7567667,-81.4639835
Sergey Yasinov,SergeyYas,1/7/2018 23:33,https://t.co/V86SqDxjoO,"#makeovermonday Week 2 @VizWizBI @TriMyData 
https://t.co/V86SqDxjoO https://t.co/F8eYDAERJ3",Israel,Pacific Time (US & Canada),en,http://pbs.twimg.com/media/DS-avf0XcAAImPQ.jpg,30.8760272,35.0015196
db,dbushnell1,1/7/2018 23:13,https://t.co/z2YJLJ0aRj,"Laughter and Love #makeovermonday week #2 @TriMyData @VizWizBI @datadotworld 

See full viz here:? https://t.co/z2YJLJ0aRj",Unknown,Quito,en,,,
David O Cinneide,dav1b,1/7/2018 22:43,NoLink,"Hot Dumb and Rich, what men and women want from a partner #MakeoverMonday week 2 2018 @VizWizBI @TriMyData https://t.co/RaFC5gBV1G",Singapore,Unknown,en,http://pbs.twimg.com/media/DS-PdveXcAAd-Nm.jpg,1.2904753,103.8520359
Pamela Germain,PamelaGFT9,1/7/2018 22:30,NoLink,"#MakeoverMonday @VizWizBI @TriMyData MM2018Wk2 I went for simple, might be too simple. https://t.co/Xem1diWboj","Chicago, IL",America/Chicago,en,http://pbs.twimg.com/media/DS-MTqMX0AEHe6A.jpg,41.8755546,-87.6244212
Kizley Benedict,kizley,1/7/2018 22:26,https://t.co/giLFKHfsxz,Personality vs Looks #MakeoverMonday| https://t.co/giLFKHfsxz https://t.co/XofvWZQVBT,"New Delhi, India",Chennai,en,http://pbs.twimg.com/media/DS-LD2nU8AAsFNT.jpg,28.6141793,77.2022662
András Szesztai,AndSzesztai,1/7/2018 21:18,https://t.co/lMuYXAxj4G,"#FirstLikertScale I was waiting for a dataset like that so much, thank you for it #MakeoverMonday &amp; #YouGov
So, whi? https://t.co/lMuYXAxj4G",Unknown,Paris,en,,,
Ann Jackson,AnnUJackson,1/7/2018 21:16,https://t.co/itxPXkRpHn,#MakeoverMonday Week 2 | The Shape of Attraction | @TriMyData @VizWizBI | data courtesy of @YouGov @mattsmithetc |? https://t.co/itxPXkRpHn,"Phoenix, AZ",Unknown,en,,33.4485866,-112.0773456
Lee,leecarter,1/7/2018 21:09,https://t.co/fta1nCTsuk,'Looks count for Vietnamese men' (or where are men the most shallow) #MakeoverMonday  https://t.co/fta1nCTsuk? https://t.co/fvTYxS7bKp,"Manchester, England",London,en,,53.4791301,-2.2441009
Lindsay Betzendahl,ZenDollData,1/7/2018 21:03,https://t.co/7iWjNmjWM1,#makeovermonday Week 2 - Desired characteristics in a romantic partner. I struggled with how to visualize this data? https://t.co/7iWjNmjWM1,CT,Eastern Time (US & Canada),en,,41.6500201,-72.7342163
tmtmtmtmtmtmtmtm,tiantianmimi,1/7/2018 20:54,https://t.co/4bT3wbNUxW,"2018 week1 #MakeoverMonday @TriMyData @VizWizBI @tableaupublic 
https://t.co/4bT3wbNUxW https://t.co/DN8cEwQimZ",USA,Eastern Time (US & Canada),en,http://pbs.twimg.com/media/DS92dSwXUAMTIMK.jpg,39.7837304,-100.4458825
Steven Watson,watsonstevenc,1/7/2018 20:53,https://t.co/KxqUH5dGmz,"Where should you go to find a date? Check out my #MakeoverMonday Match Maker to see!
https://t.co/KxqUH5dGmz https://t.co/7V6ahSaP8A","Fort Worth, TX",Unknown,en,http://pbs.twimg.com/media/DS92S3mVwAAUXhB.jpg,32.753177,-97.3327459
Charlie Hutcheson,CharlieHTableau,1/7/2018 20:49,https://t.co/Pmjun0IQAb,Another tough #MakeoverMonday for me. Hat tip to #WorkoutWednesday https://t.co/Pmjun0IQAb https://t.co/E8HFfZkuRF,"Salisbury, England",Unknown,en,http://pbs.twimg.com/media/DS91GT6WsAAIqkF.jpg,51.0736612,-1.7951176
Natasha K,data_hungry,1/7/2018 20:48,https://t.co/cWmd0zCSqH,@AMTripathi3 @VizWizBI @jonni_walker @echenty @rajvivan @databrit @louisarcher You can also try participating in? https://t.co/cWmd0zCSqH,Unknown,Unknown,en,,,
Zak Geis,zaksviz,1/7/2018 20:29,https://t.co/SuBxne42IR,"Week 2 of #MakeoverMonday.  What are the most important characteristics to women and men?
https://t.co/SuBxne42IR? https://t.co/mqnHBdlIqk",Unknown,Pacific Time (US & Canada),en,,,
